,nome,cpf,idade,data,endereco,estado,pais
80,Dr. Ian Nascimento,932.187.506-95,54,20/04/1970,"Setor Vicente Costela, 61
Marilandia
25646030 da Mota da Serra / MS",Rondônia,Brasil
81,Ana Laura Novaes,302.761.498-31,20,22/08/2004,"Trevo de Ribeiro, 534
Vila Da Paz
68674-214 da Cruz dos Dourados / SC",Piauí,Brasil
82,Luísa Brito,869.452.731-64,18,07/02/2006,"Estação Samuel Correia, 87
Solar Do Barreiro
43005103 Mendonça / PE",Espírito Santo,Brasil
83,Maria Isis Mendonça,345.907.612-70,31,21/01/1993,"Rua Monteiro, 73
Havaí
25631543 Pimenta / RJ",Piauí,Brasil
84,Ágatha Pinto,391.582.760-68,41,07/06/1983,"Esplanada Henrique Guerra, 46
Mariano De Abreu
93260486 Barros / AP",Minas Gerais,Brasil
85,Elisa Farias,453.627.890-74,30,12/07/1994,"Travessa de da Luz, 48
Vista Alegre
34159510 Araújo de Rezende / RN",Mato Grosso,Brasil
86,Ana Lívia Azevedo,615.209.743-61,29,11/08/1995,"Vale de Machado, 68
Caiçara - Adelaide
75327-654 da Rosa de Caldeira / AP",Rondônia,Brasil
87,Levi Moreira,297.853.601-21,46,22/06/1978,"Chácara Vinícius Gomes, 275
Comiteco
29252783 Costa da Serra / GO",Paraná,Brasil
88,Bernardo da Luz,540.697.183-20,47,12/08/1977,"Ladeira Sales, 6
Nossa Senhora Da Aparecida
73934-945 Pereira do Amparo / PA",Espírito Santo,Brasil
89,Arthur Araújo,653.972.184-64,56,19/11/1967,"Condomínio de Aparecida, 17
Nova Floresta
33300318 Cirino / RN",Paraíba,Brasil
90,Murilo Abreu,450.618.297-94,49,23/06/1975,"Distrito Andrade, 4
Capitão Eduardo
73373-170 Melo de da Rocha / MT",Rio Grande do Sul,Brasil
91,Emilly da Costa,286.509.714-58,45,19/11/1978,"Ladeira Oliveira, 34
Prado
21199-274 Fernandes Paulista / RS",Piauí,Brasil
92,Letícia Albuquerque,597.214.860-94,37,19/03/1987,"Área Marcos Vinicius da Mata, 36
Camponesa 2ª Seção
83227-029 da Costa Grande / PB",Mato Grosso,Brasil
93,Dra. Milena Teixeira,819.367.250-02,43,24/04/1981,"Distrito Joana Rocha, 65
Nova Gameleira
98225285 Costa Alegre / ES",Alagoas,Brasil
94,Emilly Aparecida,107.649.853-10,60,22/06/1964,"Recanto João Miguel Campos, 86
Santa Rita
45048227 Guerra / RN",Amapá,Brasil
95,Ana Júlia Marques,295.407.318-79,60,22/11/1963,"Campo Freitas, 5
Barro Preto
74556-633 Cunha / SC",Amazonas,Brasil
96,Rodrigo Cavalcante,650.782.143-80,57,15/05/1967,"Vale da Rosa, 283
Vila Coqueiral
25583759 Novaes / PE",Ceará,Brasil
97,Anna Liz Ramos,640.132.859-24,55,01/06/1969,"Pátio de Fernandes, 32
Aguas Claras
95998957 Leão das Flores / MG",Goiás,Brasil
98,Dr. Rhavi Pereira,158.204.963-70,43,25/09/1980,"Vale de Barbosa, 85
Zilah Sposito
22094-608 Cirino de da Luz / ES",Rondônia,Brasil
99,Melissa Fernandes,107.486.935-48,29,24/01/1995,"Praia Martins
Comiteco
32650-567 Gomes / MA",Roraima,Brasil
