Unnamed: 0,nome,cpf,idade,data,endereco,estado
31,Eduarda Cardoso,076.982.413-78,211,2003-01-25,endereço invalido,GOIÁS
32,Valentina Melo,208.193.754-97,354,1988-09-21,endereço invalido,MATO GROSSO
33,Ana Carolina Pires,569.231.470-34,25,1999-03-11,endereço invalido,RIO GRANDE DO SUL
34,Arthur Viana,951.673.842-73,34,1990-01-27,endereço invalido,TOCANTINS
35,Carolina Casa Grande,209.376.458-00,37,1986-10-01,endereço invalido,ESPÍRITO SANTO
36,Caio Fonseca,708.362.194-22,29,1995-05-26,endereço invalido,MINAS GERAIS
37,Allana Rocha,702.169.354-07,23,2000-10-27,endereço invalido,RIO GRANDE DO NORTE
38,Isabella Camargo,458.932.076-29,415,1983-08-31,endereço invalido,RIO DE JANEIRO
39,Gabriela Moura,356.298.410-33,20,2004-03-31,endereço invalido,RIO GRANDE DO NORTE
40,José Miguel Casa Grande,093.182.546-60,31,1993-05-04,endereço invalido,PARANÁ
41,Sr. Joaquim Cardoso,985.162.034-33,35,1988-11-06,endereço invalido,ACRE
42,Fernando Rios,023.476.158-07,43,1981-02-05,endereço invalido,PERNAMBUCO
43,Sra. Bianca Castro,685.341.702-07,55,1968-09-22,endereço invalido,PERNAMBUCO
44,Matheus Aragão,016.257.394-43,53,1971-08-11,endereço invalido,PARÁ
45,Bruna Siqueira,357.940.268-47,30,1994-04-01,endereço invalido,MARANHÃO
46,Letícia Cardoso,480.657.193-84,56,1968-08-08,endereço invalido,SÃO PAULO
47,Nina Rios,571.623.948-09,460,1978-03-17,endereço invalido,PIAUÍ
48,Matheus Moreira,152.834.709-97,579,1966-10-02,endereço invalido,GOIÁS
49,Felipe Rios,078.596.241-76,31,1992-10-05,endereço invalido,ALAGOAS
50,Luiz Felipe Borges,574.163.908-93,57,1966-11-24,endereço invalido,ALAGOAS
51,Maria Flor Santos,857.302.469-00,5701,1966-10-03,endereço invalido,RIO DE JANEIRO
52,Samuel Porto,210.869.745-49,52,1971-12-16,endereço invalido,CEARÁ
53,Milena Da Cunha,840.672.359-92,4445,1979-11-25,endereço invalido,PERNAMBUCO
54,Caroline Teixeira,453.920.876-47,47800,1977-06-24,endereço invalido,GOIÁS
55,Emanuelly Câmara,485.123.079-60,19,2005-05-03,endereço invalido,ESPÍRITO SANTO
56,Diogo Camargo,091.385.764-57,57,1967-07-26,endereço invalido,DISTRITO FEDERAL
57,Maria Isis Moura,912.504.378-14,37,1986-10-09,endereço invalido,RORAIMA
58,Sra. Cecília Moura,792.645.038-38,45,1978-11-11,endereço invalido,AMAZONAS
59,Pietra Melo,940.271.536-34,60,1964-05-07,endereço invalido,BAHIA
60,Gustavo Vieira,825.346.710-90,28,1995-11-06,endereço invalido,MATO GROSSO
61,Alice Lima,056.238.749-83,58,1966-05-11,endereço invalido,RIO DE JANEIRO
62,Larissa Pastor,428.590.136-60,32,1992-04-06,endereço invalido,CEARÁ
63,Murilo Nascimento,479.132.058-14,26,1997-11-30,endereço invalido,AMAZONAS
64,Ana Brito,871.264.059-01,32,1992-05-19,endereço invalido,PERNAMBUCO
65,Mateus Borges,923.860.415-06,56,1968-02-24,endereço invalido,BAHIA
66,Sra. Maria Eduarda Vasconcelos,952.708.431-88,36,1987-10-10,endereço invalido,RIO DE JANEIRO
67,Bryan Melo,236.089.417-03,33,1991-04-13,endereço invalido,RIO GRANDE DO SUL
68,Sr. Fernando Monteiro,940.721.568-76,26,1998-07-07,endereço invalido,ALAGOAS
69,Evelyn Câmara,102.856.497-01,60,1964-05-15,endereço invalido,RONDÔNIA
70,Maria Helena Cavalcanti,438.795.021-88,52,1972-07-25,endereço invalido,TOCANTINS
71,Ryan Andrade,905.172.836-03,56,1967-12-25,endereço invalido,RIO DE JANEIRO
72,Maria Julia Fernandes,094.638.512-24,23,2001-01-09,endereço invalido,AMAPÁ
73,Mathias Correia,724.689.135-82,27,1997-09-12,endereço invalido,MATO GROSSO
74,Ana Lívia Dias,508.347.169-84,53,1971-08-28,endereço invalido,MATO GROSSO
75,Sr. Lucca Sousa,891.423.507-60,24,2000-05-01,endereço invalido,RIO GRANDE DO NORTE
76,Sabrina Da Rosa,534.290.716-07,5856,1966-04-16,endereço invalido,PERNAMBUCO
77,Alana Lopes,685.912.034-70,41,1982-11-22,endereço invalido,SANTA CATARINA
78,Sra. Melissa Rezende,967.842.015-58,37,1987-08-12,endereço invalido,PARÁ
79,Bianca Barros,162.987.045-58,21,2003-08-01,endereço invalido,TOCANTINS
80,Emanuel Campos,216.857.493-64,31,1993-01-21,endereço invalido,PARAÍBA
81,Dr. Ian Nascimento,932.187.506-95,54,1970-04-20,endereço invalido,RONDÔNIA
82,Ana Laura Novaes,302.761.498-31,20,2004-08-22,endereço invalido,PIAUÍ
83,Luísa Brito,869.452.731-64,18,2006-02-07,endereço invalido,ESPÍRITO SANTO
84,Maria Isis Mendonça,345.907.612-70,31,1993-01-21,endereço invalido,PIAUÍ
85,Ágatha Pinto,391.582.760-68,41,1983-06-07,endereço invalido,MINAS GERAIS
86,Elisa Farias,453.627.890-74,30,1994-07-12,endereço invalido,MATO GROSSO
87,Ana Lívia Azevedo,615.209.743-61,29,1995-08-11,endereço invalido,RONDÔNIA
88,Levi Moreira,297.853.601-21,46,1978-06-22,endereço invalido,PARANÁ
89,Bernardo Da Luz,540.697.183-20,47,1977-08-12,endereço invalido,ESPÍRITO SANTO
90,Arthur Araújo,653.972.184-64,5656,1967-11-19,endereço invalido,PARAÍBA
91,Murilo Abreu,450.618.297-94,49,1975-06-23,endereço invalido,RIO GRANDE DO SUL
92,Emilly Da Costa,286.509.714-58,45,1978-11-19,endereço invalido,PIAUÍ
93,Letícia Albuquerque,597.214.860-94,37,1987-03-19,endereço invalido,MATO GROSSO
94,Dra. Milena Teixeira,819.367.250-02,43,1981-04-24,endereço invalido,ALAGOAS
95,Emilly Aparecida,107.649.853-10,6046,1964-06-22,endereço invalido,AMAPÁ
96,Ana Júlia Marques,295.407.318-79,60,1963-11-22,endereço invalido,AMAZONAS
97,Rodrigo Cavalcante,650.782.143-80,571,1967-05-15,endereço invalido,CEARÁ
98,Anna Liz Ramos,640.132.859-24,55,1969-06-01,endereço invalido,GOIÁS
99,Dr. Rhavi Pereira,158.204.963-70,43,1980-09-25,endereço invalido,RONDÔNIA
100,Melissa Fernandes,107.486.935-48,29,1995-01-24,endereço invalido,RORAIMA
