,nome,cpf,idade,data,endereco,estado
50,Luiz Felipe Borges,574.163.908-93,57,1966-11-24,"aeroporto brenda garcia, 847
santa isabel
31984067 da rocha da prata / pi",ALAGOAS
51,Maria Flor Santos,857.302.469-00,5701,1966-10-03,"estrada fernandes
conjunto providencia
96844-901 sales / ac",RIO DE JANEIRO
52,Samuel Porto,210.869.745-49,52,1971-12-16,"jardim clara porto
caetano furquim
87204-320 garcia de minas / to",CEARÁ
53,Milena Da Cunha,840.672.359-92,4445,1979-11-25,"vale araújo, 45
frei leopoldo
79163413 ferreira / am",PERNAMBUCO
54,Caroline Teixeira,453.920.876-47,47800,1977-06-24,"pátio de correia, 39
vila coqueiral
09880177 rezende / pi",GOIÁS
55,Emanuelly Câmara,485.123.079-60,19,2005-05-03,"lago isabel nogueira, 94
marajó
84183761 pimenta de minas / ma",ESPÍRITO SANTO
56,Diogo Camargo,091.385.764-57,57,1967-07-26,"lagoa pires, 6
buritis
34335-203 cavalcanti de minas / rs",DISTRITO FEDERAL
57,Maria Isis Moura,912.504.378-14,37,1986-10-09,"residencial santos, 18
beira linha
77352-702 pimenta alegre / pb",RORAIMA
58,Sra. Cecília Moura,792.645.038-38,45,1978-11-11,"recanto de castro
marieta 1ª seção
68524325 cardoso / rs",AMAZONAS
59,Pietra Melo,940.271.536-34,60,1964-05-07,"trevo de farias, 7
vitoria
03172939 almeida de minas / am",BAHIA
60,Gustavo Vieira,825.346.710-90,28,1995-11-06,"sítio de araújo, 4
boa viagem
80795646 caldeira de cassiano / ms",MATO GROSSO
61,Alice Lima,056.238.749-83,58,1966-05-11,"viaduto nina correia, 53
glória
09260059 da mata / ro",RIO DE JANEIRO
62,Larissa Pastor,428.590.136-60,32,1992-04-06,"pátio sousa, 91
vila nova cachoeirinha 2ª seção
05102-898 novais do sul / rj",CEARÁ
63,Murilo Nascimento,479.132.058-14,26,1997-11-30,"praia fonseca
liberdade
40656-772 abreu / go",AMAZONAS
64,Ana Brito,871.264.059-01,32,1992-05-19,"residencial de novais, 65
novo das industrias
43207-394 sá / pr",PERNAMBUCO
65,Mateus Borges,923.860.415-06,56,1968-02-24,"jardim marcelo araújo
vila da luz
56177250 fonseca / pe",BAHIA
66,Sra. Maria Eduarda Vasconcelos,952.708.431-88,36,1987-10-10,"viaduto de da luz, 34
taquaril
46738-464 aparecida / mg",RIO DE JANEIRO
67,Bryan Melo,236.089.417-03,33,1991-04-13,"residencial das neves
nova pampulha
90332-623 nunes / es",RIO GRANDE DO SUL
68,Sr. Fernando Monteiro,940.721.568-76,26,1998-07-07,"avenida renan sá, 91
são francisco das chagas
35881-572 da cruz / ce",ALAGOAS
69,Evelyn Câmara,102.856.497-01,60,1964-05-15,"jardim alexandre sampaio, 997
vila nova gameleira 2ª seção
57039744 brito / pe",RONDÔNIA
70,Maria Helena Cavalcanti,438.795.021-88,52,1972-07-25,"campo de da cruz, 67
vila mangueiras
00090473 camargo do norte / sp",TOCANTINS
71,Ryan Andrade,905.172.836-03,56,1967-12-25,"distrito da rosa, 62
santa rita
48413863 sá / rs",RIO DE JANEIRO
72,Maria Julia Fernandes,094.638.512-24,23,2001-01-09,"estação de moraes, 34
serra do curral
50003144 cassiano verde / am",AMAPÁ
73,Mathias Correia,724.689.135-82,27,1997-09-12,"residencial de cavalcanti, 57
conjunto califórnia i
93907-165 borges da praia / ba",MATO GROSSO
74,Ana Lívia Dias,508.347.169-84,53,1971-08-28,"praça pires
maravilha
50601257 correia / pr",MATO GROSSO
75,Sr. Lucca Sousa,891.423.507-60,24,2000-05-01,"fazenda vieira, 70
vila califórnia
24510480 da conceição de rezende / ac",RIO GRANDE DO NORTE
76,Sabrina Da Rosa,534.290.716-07,5856,1966-04-16,"chácara catarina da luz, 27
vila jardim são josé
00967-174 sales / rs",PERNAMBUCO
77,Alana Lopes,685.912.034-70,41,1982-11-22,"trevo monteiro
beira linha
99958-894 pacheco de mendes / ce",SANTA CATARINA
78,Sra. Melissa Rezende,967.842.015-58,37,1987-08-12,"lago pimenta, 94
pilar
88453-748 sales / pe",PARÁ
79,Bianca Barros,162.987.045-58,21,2003-08-01,"recanto câmara, 311
boa união 2ª seção
99246-995 novaes do sul / rr",TOCANTINS
80,Emanuel Campos,216.857.493-64,31,1993-01-21,"distrito de almeida, 61
vila madre gertrudes 1ª seção
36233-678 brito / se",PARAÍBA
81,Dr. Ian Nascimento,932.187.506-95,54,1970-04-20,"setor vicente costela, 61
marilandia
25646030 da mota da serra / ms",RONDÔNIA
82,Ana Laura Novaes,302.761.498-31,20,2004-08-22,"trevo de ribeiro, 534
vila da paz
68674-214 da cruz dos dourados / sc",PIAUÍ
83,Luísa Brito,869.452.731-64,18,2006-02-07,"estação samuel correia, 87
solar do barreiro
43005103 mendonça / pe",ESPÍRITO SANTO
84,Maria Isis Mendonça,345.907.612-70,31,1993-01-21,"rua monteiro, 73
havaí
25631543 pimenta / rj",PIAUÍ
85,Ágatha Pinto,391.582.760-68,41,1983-06-07,"esplanada henrique guerra, 46
mariano de abreu
93260486 barros / ap",MINAS GERAIS
86,Elisa Farias,453.627.890-74,30,1994-07-12,"travessa de da luz, 48
vista alegre
34159510 araújo de rezende / rn",MATO GROSSO
87,Ana Lívia Azevedo,615.209.743-61,29,1995-08-11,"vale de machado, 68
caiçara - adelaide
75327-654 da rosa de caldeira / ap",RONDÔNIA
88,Levi Moreira,297.853.601-21,46,1978-06-22,"chácara vinícius gomes, 275
comiteco
29252783 costa da serra / go",PARANÁ
89,Bernardo Da Luz,540.697.183-20,47,1977-08-12,"ladeira sales, 6
nossa senhora da aparecida
73934-945 pereira do amparo / pa",ESPÍRITO SANTO
90,Arthur Araújo,653.972.184-64,5656,1967-11-19,"condomínio de aparecida, 17
nova floresta
33300318 cirino / rn",PARAÍBA
91,Murilo Abreu,450.618.297-94,49,1975-06-23,"distrito andrade, 4
capitão eduardo
73373-170 melo de da rocha / mt",RIO GRANDE DO SUL
92,Emilly Da Costa,286.509.714-58,45,1978-11-19,"ladeira oliveira, 34
prado
21199-274 fernandes paulista / rs",PIAUÍ
93,Letícia Albuquerque,597.214.860-94,37,1987-03-19,"área marcos vinicius da mata, 36
camponesa 2ª seção
83227-029 da costa grande / pb",MATO GROSSO
94,Dra. Milena Teixeira,819.367.250-02,43,1981-04-24,"distrito joana rocha, 65
nova gameleira
98225285 costa alegre / es",ALAGOAS
95,Emilly Aparecida,107.649.853-10,6046,1964-06-22,"recanto joão miguel campos, 86
santa rita
45048227 guerra / rn",AMAPÁ
96,Ana Júlia Marques,295.407.318-79,60,1963-11-22,"campo freitas, 5
barro preto
74556-633 cunha / sc",AMAZONAS
97,Rodrigo Cavalcante,650.782.143-80,571,1967-05-15,"vale da rosa, 283
vila coqueiral
25583759 novaes / pe",CEARÁ
98,Anna Liz Ramos,640.132.859-24,55,1969-06-01,"pátio de fernandes, 32
aguas claras
95998957 leão das flores / mg",GOIÁS
99,Dr. Rhavi Pereira,158.204.963-70,43,1980-09-25,"vale de barbosa, 85
zilah sposito
22094-608 cirino de da luz / es",RONDÔNIA
100,Melissa Fernandes,107.486.935-48,29,1995-01-24,"praia martins
comiteco
32650-567 gomes / ma",RORAIMA
